Name,Address,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Duke's Seafood,"500 Bellevue Way NE, Ste 212, Bellevue, WA 98004","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Fogo de Chao,"440 Bellevue Way NE, Bellevue, WA 98004","['11:00 AM - 2:00 PM, 4:30 PM - 9:30 PM', '']","['11:00 AM - 2:00 PM, 4:30 PM - 9:30 PM', '']","['11:00 AM - 2:00 PM, 4:30 PM - 9:30 PM', '']","['11:00 AM - 2:00 PM, 4:30 PM - 9:30 PM', '']","['11:00 AM - 2:00 PM, 4:30 PM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 9:00 PM', '']"
DERU Market,"723 9th Ave, Ste D, Kirkland, WA 98033","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['8:00 AM - 9:00 PM', '']","['8:00 AM - 9:00 PM', '']"
Shabu Shabu Kyoto Japanese Restaurant,"627 156th Ave SE, Bellevue, WA 98007","['Closed', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:00 PM', '']"
The Third Place,"7844 Leary Way NE, Ste 110, Redmond, WA 98052","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Woodblock,"16175 Cleveland St, Ste 109, Redmond, WA 98052","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 8:00 PM', '']"
Shaburina,"2720 152nd Ave NE, Ste 130, Redmond, WA 98052","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']"
Seastar Restaurant & Raw Bar,"205 108th Ave NE, Ste 100, Bellevue, WA 98004","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Luna Bistro 君月庭,"14603 NE 20th St, Ste 4A, Bellevue, WA 98007","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']"
DWNUNDR,"625 116th Ave NE, Bellevue, WA 98004","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
Sushi J,"15600 NE 8th St, Ste PM41, Bellevue, WA 98008","['11:00 AM - 7:30 PM', '']","['11:00 AM - 7:30 PM', '']","['11:00 AM - 7:30 PM', '']","['11:00 AM - 7:30 PM', '']","['11:00 AM - 7:30 PM', '']","['11:00 AM - 7:30 PM', '']","['11:00 AM - 5:30 PM', '']"
Desi Tadka Indian Grill,"304 105th Ave NE, Bellevue, WA 98004","['Closed', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:00 PM - 9:30 PM', '']"
Nine Way 玖味,"14808 NE 24th St, Ste A, Redmond, WA 98052","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']","['Closed', '']","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 8:30 PM', '']"
Musashi's,"3720 Factoria Blvd SE, Bellevue, WA 98006","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['Closed', '']"
Cafe Aloe,"10961 NE 2nd Pl, Ste 100, Bellevue, WA 98004","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['Closed', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']"
DWNUNDR,"625 116th Ave NE, Bellevue, WA 98004","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
Donburi Station - Bellevue,"14339 NE 20th St, Ste E, Bellevue, WA 98007","['Closed', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 4:30 PM - 9:00 PM', '']"
STK Steakhouse Bellevue,"610 Bellevue Way NE, Bellevue, WA 98004","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 11:00 PM', '']"
JOEY Bellevue,"800 Bellevue Way NE, Ste 118, Bellevue, WA 98004","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']"
Central Bar + Restaurant,"10475 NE 6th St, Bellevue, WA 98004","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 12:00 AM (Next day)', '']","['10:00 AM - 10:00 PM', '']"
151 Days,"2720 152nd Ave NE, Unit 150, Redmond, WA 98052","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']"
Sandwich House TRES,"1502 145th Pl SE, Bellevue, WA 98007","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']","['8:00 AM - 2:00 PM', '']"
Kizuki Ramen & Izakaya,"14845 Main St, Bellevue, WA 98007","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:30 PM', '']"
Bis on Main,"10213 Main St, Bellevue, WA 98004","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 12:00 AM (Next day)', '']","['5:30 PM - 12:00 AM (Next day)', '']","['5:00 PM - 9:00 PM', '']"
Due' Cucina Italiana - Totem Lake,"12670 120th Ave NE, Ste 170, Kirkland, WA 98034","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
The Stone House,"16244 Cleveland St, Redmond, WA 98052","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 9:00 PM', '']"
Krawbar,"80 Front St N, Issaquah, WA 98027","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Ishoni Yakiniku,"611 Broadway E, Seattle, WA 98102","['Closed', '']","['Closed', '']","['5:30 PM - 9:30 PM', '']","['5:30 PM - 9:30 PM', '']","['5:30 PM - 11:00 PM', '']","['5:30 PM - 11:00 PM', '']","['5:30 PM - 9:30 PM', '']"
Krawbar,"80 Front St N, Issaquah, WA 98027","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Sam’s Tavern,"931 108th Ave NE, Bellevue, WA 98004","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']"
Como,"1270 Carillon Point, Kirkland, WA 98033","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
The Pumphouse Bar & Grill,"11802 NE 8th St, Bellevue, WA 98005","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']","['8:30 AM - 10:30 PM', '']"
Looking For Chai,"12121 Northup Way, Ste 205, Bellevue, WA 98005","['11:00 AM - 9:30 PM', '']","['Closed', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:30 PM', '']"
Bake's Place Bar & Bistro,"155 108th Ave NE, Ste 110, Bellevue, WA 98004","['Closed', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 11:00 PM', '']","['4:00 PM - 11:00 PM', '']","['Closed', '']"
John Howie Steak Restaurant,"11111 NE 8th St, Ste 125, Bellevue, WA 98004","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 9:00 PM', '']"
Hui Lau Shan,"298 106th Ave NE, Bellevue, WA 98004","['1:00 PM - 9:00 PM', '']","['1:00 PM - 9:00 PM', '']","['1:00 PM - 9:00 PM', '']","['1:00 PM - 9:00 PM', '']","['1:00 PM - 9:30 PM', '']","['12:00 PM - 9:30 PM', '']","['12:00 PM - 9:00 PM', '']"
Bai Tong Thai Restaurant,"14804 NE 24th St, Redmond, WA 98052","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Maichilin,"14603 NE 20th St, Ste C-06, Bellevue, WA 98007","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Square Lotus,"3540 Factoria Blvd SE, Bellevue, WA 98006","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']"
BobaLust - Kirkland,"6617 132nd Ave NE, Kirkland, WA 98033","['1:00 PM - 10:00 PM', '']","['1:00 PM - 10:00 PM', '']","['1:00 PM - 10:00 PM', '']","['1:00 PM - 10:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 10:00 PM', '']"
El Gaucho - Bellevue,"450 108th Ave NE, Bellevue, WA 98004","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['Closed', '']"
Water's Table,"1053 Lake Washington Blvd N, Renton, WA 98056","['11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['8:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['8:00 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']"
Monsoon Bellevue,"10245 Main St, Bellevue, WA 98004","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:00 PM', '']"
Hanok,"4021 E Madison St, Seattle, WA 98112","['5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['12:00 PM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['Closed', '']"
Fan Tang Asian Cafe,"10615 NE 68th St, Kirkland, WA 98033","['Closed', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Hurry Curry of Tokyo - Bellevue,"15015 Main St, Ste 114, Bellevue, WA 98007","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Chi Mac Bellevue,"3640 Factoria Blvd SE, Ste E, Bellevue, WA 98006","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:30 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:30 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 10:30 PM', '']","['Closed', '']"
Fan Tang Asian Cafe,"10615 NE 68th St, Kirkland, WA 98033","['Closed', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Hurry Curry of Tokyo - Bellevue,"15015 Main St, Ste 114, Bellevue, WA 98007","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']"
La Chingona Taqueria,"29 148th Ave SE, Bellevue, WA 98007","['Closed', '']","['10:00 AM - 7:30 PM', '']","['10:00 AM - 7:30 PM', '']","['10:00 AM - 7:30 PM', '']","['10:00 AM - 7:30 PM', '']","['11:00 AM - 7:00 PM', '']","['9:00 AM - 6:00 PM', '']"
Mioposto,"2601 76th Ave SE, Mercer Island, WA 98040","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Lil' Jon Restaurant & Lounge,"3080 148th Ave SE, Bellevue, WA 98007","['6:00 AM - 10:00 PM', '']","['6:00 AM - 10:00 PM', '']","['6:00 AM - 10:00 PM', '']","['6:00 AM - 10:00 PM', '']","['6:00 AM - 10:00 PM', '']","['6:00 AM - 10:00 PM', '']","['6:00 AM - 9:00 PM', '']"
Niku Niku Japanese Barbecue,"13200 Aurora Ave N, Ste G, Seattle, WA 98133","['Closed', '']","['5:00 PM - 10:30 PM', '']","['5:00 PM - 10:30 PM', '']","['5:00 PM - 10:30 PM', '']","['5:00 PM - 10:30 PM', '']","['5:00 PM - 10:30 PM', '']","['5:00 PM - 10:30 PM', '']"
Afghan Cuisine,"14320 NE 20th St, Bellevue, WA 98007","['Closed', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Señor Taco,"14339 NE 20th St, Unit D, Bellevue, WA 98007","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 4:00 PM', '']"
Minamoto Japanese Restaurant,"11061 NE 9th St, Bellevue, WA 98004","['Closed', '']","['11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 10:00 PM', '']"
AC Lounge,"208 106th Pl NE, Bellevue, WA 98004","['Open 24 hours', '']","['Open 24 hours', '']","['Open 24 hours', '']","['Open 24 hours', '']","['Open 24 hours', '']","['Open 24 hours', '']","['Open 24 hours', '']"
47 North Bar + Bistro,"10777 NE 10th St., Bellevue, WA 98004","['6:00 AM - 11:00 PM', '']","['6:00 AM - 11:00 PM', '']","['6:00 AM - 11:00 PM', '']","['6:00 AM - 11:00 PM', '']","['6:00 AM - 11:00 PM', '']","['7:00 AM - 11:00 PM', '']","['7:00 AM - 11:00 PM', '']"
BeachHouse bar + grill,"6023 Lake Washington Blvd NE, Kirkland, WA 98033","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Pogacha Restaurant & Bar,"2707 78th Ave SE, Mercer Island, WA 98040","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['10:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['10:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']"
Cedar + Elm,"14477 Juanita Dr NE, Kenmore, WA 98028","['7:00 AM - 9:00 PM', '']","['7:00 AM - 9:00 PM', '']","['7:00 AM - 9:00 PM', '']","['7:00 AM - 9:00 PM', '']","['7:00 AM - 10:00 PM', '']","['7:00 AM - 10:00 PM', '']","['7:00 AM - 9:00 PM', '']"
LifeCafe,"11111 NE 8th St, Bellevue, WA 98004","['5:00 AM - 10:00 PM', '']","['5:00 AM - 10:00 PM', '']","['5:00 AM - 10:00 PM', '']","['5:00 AM - 10:00 PM', '']","['5:00 AM - 9:00 PM', '']","['6:00 AM - 7:00 PM', '']","['6:00 AM - 7:00 PM', '']"
FOB Poke Bar,"333 108th Ave NE, Bellevue, WA 98004","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']"
The French Bakery,"909 112th Ave NE, Ste 106, Bellevue, WA 98004","['7:00 AM - 4:00 PM', '']","['7:00 AM - 4:00 PM', '']","['7:00 AM - 4:00 PM', '']","['7:00 AM - 4:00 PM', '']","['7:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']"
The Roll Pod,"14125 NE 20th St, Ste G, Bellevue, WA 98007","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']"
Blazing Bowl,"15600 NE 8th St, Ste PM6, Bellevue, WA 98008","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 6:00 PM', '']"
Tofu 101,"12816 SE 38th St, Ste G, Bellevue, WA 98006","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['8:30 AM - 5:00 PM', '']","['Closed', '']"
I Love Sushi on Lake Bellevue,"23 Lake Bellevue Dr, Bellevue, WA 98005","['Closed', '']","['Closed', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']"
Exit 5 Korean BBQ,"911 N 10th Pl, Ste D, Renton, WA 98057","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']"
Peony Kitchen,"10317 Main St, Ste 100, Bellevue, WA 98004","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 9:00 PM', '']"
Hokkaido Ramen Santouka - Bellevue,"103 Bellevue Way NE, Bellevue, WA 98004","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:00 PM', '']"
Thai Kitchen Bird Pepper,"563 Bellevue Sq, Bellevue, WA 98004","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:30 PM', '']"
Vovina,"15 Lake St, Ste 103, Kirkland, WA 98033","['3:30 PM - 11:00 PM', '']","['3:30 PM - 11:00 PM', '']","['3:30 PM - 11:00 PM', '']","['3:30 PM - 12:00 AM (Next day)', '']","['3:30 PM - 12:00 AM (Next day)', '']","['3:30 PM - 12:00 AM (Next day)', '']","['3:30 PM - 11:00 PM', '']"
Stone Korean Restaurant,"16857 Redmond Way, Redmond, WA 98052","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Santorini Greek Grill,"106 Central Way, Kirkland, WA 98033","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Cepae,"258 106th Ave NE, Bellevue, WA 98004","['Closed', '']","['8:00 AM - 3:00 PM', '']","['8:00 AM - 3:00 PM', '']","['8:00 AM - 10:00 PM', '']","['8:00 AM - 10:00 PM', '']","['8:00 AM - 10:00 PM', '']","['8:00 AM - 9:00 PM', '']"
